RecipientName,country_type,country_code,gdp,Adaptation_funding,effective_funding,perc_Adaptation
Afghanistan,LDCs,AFG,19609450491.0,113.16573979999998,291.532830141,1.8450789217764674
Albania,UMICs,ALB,13338567710.0,1.17099132,43.258693324999996,0.019092098067256237
Algeria,UMICs,DZA,167430000000.0,6.258238800000001,19.244446634,0.1020356913473176
Angola,LDCs,AGO,107086000000.0,2.931962402799999,6.969966532799999,0.04780335495891278
Antigua and Barbuda,Small Island Developing States,ATG,1515917778.0,0.0,11.28350245,0.0
Argentina,UMICs,ARG,552902000000.0,4.072414801999999,15.797476299999998,0.06639753979587985
Armenia,LMICs,ARM,11751535093.0,1.3214651999999998,190.62791868000005,0.02154545704990057
Azerbaijan,UMICs,AZE,45393607318.0,3.5267094,4.34671673,0.057500239813489326
Bangladesh,LDCs,BGD,248563000000.0,210.6865387418,716.5525707848001,3.435079313063761
Belarus,UMICs,BLR,56403141352.0,0.0824642499999999,6.409581335999999,0.0013445151310282415
Belize,Small Island Developing States,BLZ,1817262720.0,0.7175140599999996,4.2827398599999995,0.011698505842174108
Benin,LDCs,BEN,12910515819.0,13.759524509999999,63.90041229199,0.22433829082843743
Bhutan,LDCs,BTN,2264902343.0,1.5249873699999996,7.466531806699999,0.024863726931269797
Bolivia,LMICs,BOL,37126587467.0,63.523684247399984,245.35550764939995,1.0357040129424537
Bosnia and Herzegovina,UMICs,BIH,18287267400.0,2.95550292,144.20801576600002,0.04818716468940365
Botswana,UMICs,BWA,16895247027.0,0.11672759999999989,0.7125800299999995,0.0019031522679053314
Brazil,UMICs,BRA,1877200000000.0,24.019664771,1029.197050915,0.3916218570694033
Burkina Faso,LDCs,BFA,14153973552.0,35.599467366673004,235.68402889367297,0.5804214860504766
Burundi,LDCs,BDI,3057118985.0,16.014157599999997,29.846136310999995,0.26109832083443346
Cabo Verde,Small Island Developing States,CPV,1795683047.0,2.1670666499999998,32.97424655,0.035332327655580274
Cambodia,LDCs,KHM,22381009185.0,38.537671010000004,158.9963641687,0.6283265995571836
Cameroon,LMICs,CMR,35207235376.0,2.01311522,141.2815124,0.03282226993870981
Central African Republic,LDCs,CAF,2006896079.0,0.004596,5.691576039999999,7.49341871441965e-05
Chad,LDCs,TCD,10720536841.0,17.3705401,48.92528715058,0.28321307716474536
Chile,MADCTs,CHL,270396000000.0,1.9382828099999998,199.06116198900003,0.03160218599280223
China (People's Republic of),UMICs,CHN,12568600000000.0,95.73631847399997,786.86523297,1.5609058322513294
Colombia,UMICs,COL,309113000000.0,355.63032474700003,775.3950950200001,5.79827443619301
Comoros,Small Island Developing States,COM,1084112832.0,0.0,2.0377234799999995,0.0
Congo,LMICs,COG,9823410998.0,0.37025859999999977,8.04789353,0.006036777028752866
Cook Islands,UMICs,COK,355000000.0,1.2850497,1.4902721,0.020951730789685284
Costa Rica,UMICs,CRI,58548738110.0,1.1234251599999996,213.25535458999997,0.018316569012606365
Cuba,Small Island Developing States,CUB,93844250000.0,7.088163038999999,44.19233376099999,0.11556695728307277
C̫te d'Ivoire,LMICs,CIV,52376793651.0,5.769647839999999,113.24460042000003,0.09406959769335704
Democratic Republic of the Congo,LDCs,COD,41444547384.0,50.298680319999995,228.92719487999997,0.8200806623596589
Djibouti,LDCs,DJI,2823368140.0,0.7859159100000002,6.09432431,0.012813744534277959
Dominica,Small Island Developing States,DMA,556745925.9,3.6013648999999996,5.301200249999999,0.0587174393801437
Dominican Republic,Small Island Developing States,DOM,80272839474.0,52.927628780000006,101.616973,0.8629436118579374
Ecuador,UMICs,ECU,103704000000.0,96.895781016,242.9964307327,1.5798099626057498
Egypt,LMICs,EGY,291013000000.0,5.156723292000001,805.229613174,0.08407634208302112
El Salvador,LMICs,SLV,25149784000.0,12.15544203,72.332488511,0.19818497996006348
Equatorial Guinea,UMICs,GNQ,12186496882.0,0.0,0.20090244000000004,0.0
Eswatini,LMICs,SWZ,4295268357.0,5.301906,5.6415063,0.08644343264250179
Ethiopia,LDCs,ETH,80206751231.0,665.533860882,1020.1448510929999,10.8510093303158
Fiji,Small Island Developing States,FJI,5207692828.0,19.239846710000002,24.97001105,0.3136906601376835
Gabon,UMICs,GAB,15371345949.0,1.3819910000000002,10.393570610000001,0.022532282903741357
Gambia,LDCs,GMB,1542251823.0,0.006465,0.5104989999999999,0.00010540677108077249
Georgia,LMICs,GEO,16336304380.0,11.49005201,194.99401215449998,0.18733631584288316
Ghana,LMICs,GHA,59022565018.0,31.103869259000007,154.929447966,0.5071242732729605
Grenada,Small Island Developing States,GRD,1116238200.0,3.4897420500000003,6.16752927,0.0568975160704247
Guatemala,LMICs,GTM,69936159619.0,55.130357079999996,130.18874130999998,0.8988573748387941
Guinea,LDCs,GIN,10706424125.0,4.994487725,16.547578055000002,0.08143121798836861
Guinea-Bissau,Small Island Developing States,GNB,1274280002.0,0.9819105999999999,5.4004901929999996,0.016009284738744616
Guyana,Small Island Developing States,GUY,3683111326.0,0.0,63.091418467,0.0
Haiti,Small Island Developing States,HTI,8652501130.0,70.8949252498,139.62093536380002,1.1558863351267046
Honduras,LMICs,HND,22990641459.0,63.118224510000005,215.744796108,1.0290933088863685
India,LMICs,IND,2527890000000.0,97.73747553100002,4515.9995331138,1.593533133690444
Indonesia,LMICs,IDN,993956000000.0,81.09685949000001,1553.257249244,1.3222208977002323
Iran,UMICs,IRN,416093000000.0,2.86675908,16.454733794,0.04674026575240308
Iraq,UMICs,IRQ,201235000000.0,27.298925999999994,556.300804643,0.4450876478937274
Jamaica,Small Island Developing States,JAM,15048382267.0,12.6186768,71.98586566,0.20573766075790478
Jordan,LMICs,JOR,40784805634.0,190.39141112800002,622.242901419,3.1041831227400363
Kazakhstan,UMICs,KAZ,169595000000.0,3.0954075299999992,18.926478877999998,0.05046819998707027
Kenya,LMICs,KEN,79088636338.0,234.58507539099998,785.2389468263999,3.824726270797353
Kiribati,Small Island Developing States,KIR,185621610.8,2.0332719,7.134482429999999,0.03315090884891992
Kosovo,LMICs,XKX,7255373020.0,2.586837939,43.54076073739999,0.04217637037265743
Kyrgyzstan,LMICs,KGZ,7583986690.0,8.708019849,45.199422333,0.14197745627074493
Lao People's Democratic Republic,LDCs,LAO,16635369576.0,26.235133899999997,120.58087792,0.42774334930714825
Lebanon,UMICs,LBN,52522690724.0,1.5244841449999997,39.084023805,0.024855522241033583
Lesotho,LDCs,LSO,2395788510.0,11.370747300000001,11.994809660000001,0.18539114581104593
Liberia,LDCs,LBR,3214959820.0,21.701787699999997,164.88781790999997,0.3538306833932596
Libya,UMICs,LBY,39321331613.0,1.193616,4.9053567000000005,0.019460975788143438
Madagascar,LDCs,MDG,12857058469.0,15.519328881,159.717430005,0.2530305253962549
Malawi,LDCs,MWI,6538710280.0,165.504100607,439.208584571,2.6984149799862625
Malaysia,UMICs,MYS,328970000000.0,9.21953723,24.275500233,0.15031734729671606
Maldives,Small Island Developing States,MDV,4856251371.0,2.901802,6.22416185,0.04731161316871272
Mali,LDCs,MLI,15436528478.0,101.648001494,208.029113014,1.6572912025206616
Marshall Islands,Small Island Developing States,MHL,204829250.0,3.301881,9.3251268,0.053834588507803885
Mauritania,LDCs,MRT,6793383017.0,27.49127993,65.50091323,0.448223828352505
Mauritius,Small Island Developing States,MUS,13109270082.0,9.755836500000001,45.59486401,0.15906128764995278
Mexico,UMICs,MEX,1177040000000.0,21.64463183,1212.2071194619,0.35289880161367543
Micronesia,Small Island Developing States,FSM,354338550.0,3.9500569999999993,6.98572805,0.06440259148569262
Moldova,LMICs,MDA,9779863582.0,2.6067782100000003,20.745789750999997,0.04250148090329712
Mongolia,LMICs,MNG,12264746066.0,17.18944687,207.67014395999996,0.28026049361658023
Montenegro,UMICs,MNE,4857976293.0,0.0456009699999998,37.016910859,0.0007434881679584149
Montserrat,UMICs,MSR,67000000.0,0.5171780999999999,10.963451253999999,0.0084321846240818
Morocco,LMICs,MAR,110170000000.0,175.07379893720002,1214.8367024192,2.8544414302884196
Mozambique,LDCs,MOZ,14151687139.0,185.621666695,442.1324744208,3.0264161684379447
Myanmar,LDCs,MMR,71241354706.0,89.568365843,187.43447536477998,1.4603421863096646
Namibia,UMICs,NAM,12100052698.0,17.738595412000002,112.82062135199999,0.2892139313050464
Nauru,Small Island Developing States,NRU,107739476.1,0.8258293000000001,26.054751,0.013464501156518885
Nepal,LDCs,NPL,25518448233.0,183.05430035662,362.44239441962,2.9845572672917573
Nicaragua,LMICs,NIC,13082697368.0,28.450117387419997,134.34242872032,0.4638569235385745
Niger,LDCs,NER,11374635240.0,26.194858019999998,92.32919985699999,0.4270866825688286
Nigeria,LMICs,NGA,424252000000.0,56.70985610900001,150.859687334358,0.9246098717563666
Niue,UMICs,NIU,24000000.0,0.7800967000000001,4.6025562,0.012718866864310294
North Macedonia,UMICs,MKD,11473544774.0,6.16018564,22.580900371999995,0.10043701122514183
Pakistan,LMICs,PAK,289314000000.0,135.9009583386,560.0826651906,2.2157588871236515
Palau,UMICs,PLW,287704600.0,1.0307997,3.4283453,0.016806383295905482
Panama,UMICs,PAN,61229480000.0,1.2999671999999995,4.925051753999998,0.021194948965647754
Papua New Guinea,Small Island Developing States,PNG,22721464066.0,23.359087824,49.595716003999996,0.38085166634493856
Paraguay,UMICs,PRY,37951446286.0,2.59469828,15.302380234999996,0.04230452708795577
Peru,UMICs,PER,208320000000.0,81.02136971400002,518.276993594,1.3209900959155811
Philippines,LMICs,PHL,335438000000.0,262.273157715,909.405186306,4.276158808336635
Rwanda,LDCs,RWA,9264008577.0,52.36381361000001,110.02161924,0.8537510462653534
Saint Helena,UMICs,SHN,39000000.0,0.1332023999999997,86.973022954,0.0021717610029713
Saint Lucia,Small Island Developing States,LCA,1972174244.0,0.197086127,1.0137350269999998,0.0032133352315367445
Saint Vincent and the Grenadines,Small Island Developing States,VCT,791738518.5,0.7380895999999999,3.7511576399999997,0.012033973937246544
Samoa,Small Island Developing States,WSM,818146882.9,16.550463099999998,20.74497017,0.26984236276295004
Sao Tome and Principe,Small Island Developing States,STP,378432924.4,0.020982,3.1616676099999994,0.0003420951076282704
Senegal,LDCs,SEN,20925147137.0,25.7739235311,168.15882460158,0.4202236747866964
Serbia,UMICs,SRB,45277164757.0,3.0563226059999993,384.347139312,0.04983095085531816
Seychelles,Small Island Developing States,SYC,1522697136.0,0.00692879,1.0619783049999998,0.00011296850446972089
Sierra Leone,LDCs,SLE,3931937097.0,9.369368269999999,61.7354681,0.15276022527569114
Solomon Islands,Small Island Developing States,SLB,1303084723.0,4.3352587,17.25337536,0.07068300407839555
South Africa,UMICs,ZAF,336651000000.0,34.533574869999995,675.0060942920052,0.5630429421380985
South Sudan,LDCs,SSD,11997800760.0,161.4394519,194.02927372399998,2.632144060298326
Sri Lanka,LMICs,LKA,84573583661.0,16.985816779999997,79.459139137,0.2769404641839758
Sudan,LDCs,SDN,43285344619.0,20.044822239000002,33.435921369,0.3268151568601779
Suriname,Small Island Developing States,SUR,3713945432.0,0.6920523199999997,2.0789678589999996,0.011283372075817087
Tajikistan,LMICs,TJK,7520944062.0,19.904566097,37.614987375,0.3245283901080563
Tanzania,LDCs,TZA,54330302947.0,134.827291239,374.034311249,2.1982535843882314
Thailand,UMICs,THA,464237000000.0,15.577459480000002,36.007775455,0.25397829937020405
Timor-Leste,Small Island Developing States,TLS,1620903797.0,20.024048262,27.944171372,0.32647645340494574
Togo,LDCs,TGO,4860823923.0,1.3842809999999997,22.646379160000002,0.022569619563567327
Tokelau,LMICs,TKL,10000000.0,0.7450965999999998,2.3919965999999997,0.01214821759462674
Tonga,Small Island Developing States,TON,429268751.8,3.0474606999999994,31.702648370000002,0.049686464405653614
Tunisia,LMICs,TUN,40669025774.0,56.25382256,297.975530992,0.9171746012374811
Turkey,UMICs,TUR,820392000000.0,169.43390902,591.157100958,2.7624874340899566
Turkmenistan,UMICs,TKM,37666785714.0,0.0656168,0.2367721999999999,0.0010698306290259601
Tuvalu,Small Island Developing States,TUV,40503750.82,1.1692203999999997,4.309313099999999,0.019063224601047053
Uganda,LDCs,UGA,31801742338.0,140.90047054270002,308.4338394517,2.297272025315933
Ukraine,LMICs,UKR,116252000000.0,3.8901634299999994,245.99162804999997,0.0634260736477653
Uruguay,MADCTs,URY,56226960599.0,1.2058613999999999,2.0572493369999996,0.019660627462481022
Uzbekistan,LMICs,UZB,66220052410.0,1.1933980999999996,20.212534503999994,0.01945742309898357
Vanuatu,Small Island Developing States,VUT,853435051.6,5.811514164,8.961647294,0.0947521953777904
Viet Nam,LMICs,VNM,225886000000.0,470.9391098379999,1334.051301895,7.678294036144908
Wallis and Futuna,UMICs,WLF,171000000.0,0.17889838000000002,5.1692751044,0.0029167982347070454
West Bank and Gaza Strip,LMICs,PSE,13803175000.0,15.550149960000002,108.153594325,0.25353303899542207
Yemen,LDCs,YEM,29303367642.0,4.988802399999999,25.34242021,0.0813385232086633
Zambia,LDCs,ZMB,23627242513.0,43.38520172,159.34627096699998,0.707361798297475
Zimbabwe,LMICs,ZWE,21661004060.0,107.69552461699999,136.089512927,1.7558913394783937
